ROUTE,DAY,DELAY
ATL-CVG,MON,3126
ATL-CVG,TUE,3140
ATL-CVG,WED,2724
ATL-CVG,THU,3001
ATL-CVG,FRI,2465
ATL-CVG,SAT,1574
ATL-DAB,SUN,1235
ATL-DAB,MON,1497
ATL-DAB,TUE,1628
ATL-DAB,WED,1771
ATL-DAB,THU,2029
ATL-DAB,FRI,1775
ATL-DAB,SAT,1471
ATL-DAL,SUN,2581
ATL-DAL,MON,3857
ATL-DAL,TUE,3575
ATL-DAL,WED,3577
ATL-DAL,THU,3546
ATL-DAL,FRI,2856
ATL-DAL,SAT,1588
ATL-DAY,SUN,1164
ATL-DAY,MON,1192
ATL-DAY,TUE,1228
ATL-DAY,WED,1800
ATL-DAY,THU,2012
ATL-DAY,FRI,1300
ATL-DAY,SAT,1573
ATL-DCA,SUN,5670
ATL-DCA,MON,10433
ATL-DCA,TUE,10864
ATL-DCA,WED,10085
ATL-DCA,THU,15337
ATL-DCA,FRI,7844
ATL-DCA,SAT,5094
ATL-DEN,SUN,6988
ATL-DEN,MON,8557
ATL-DEN,TUE,10725
ATL-DEN,WED,9866
ATL-DEN,THU,10202
ATL-DEN,FRI,6476
ATL-DEN,SAT,6330
ATL-DFW,SUN,11892
ATL-DFW,MON,11525
ATL-DFW,TUE,9017
ATL-DFW,WED,12181
ATL-DFW,THU,13311
ATL-DFW,FRI,13067
ATL-DFW,SAT,6782
ATL-DHN,SUN,1899
ATL-DHN,MON,2293
ATL-DHN,TUE,1460
ATL-DHN,WED,1634
ATL-DHN,THU,2562
ATL-DHN,FRI,2194
ATL-DHN,SAT,987
ATL-DSM,SUN,528
ATL-DSM,MON,1303
ATL-DSM,TUE,1657
ATL-DSM,WED,750
ATL-DSM,THU,938
ATL-DSM,FRI,395
ATL-DSM,SAT,244
ATL-DTW,SUN,5405
ATL-DTW,MON,8505
ATL-DTW,TUE,8862
ATL-DTW,WED,7351
ATL-DTW,THU,7848
ATL-DTW,FRI,5796
ATL-DTW,SAT,4681
ATL-ECP,SUN,1596
ATL-ECP,MON,2874
ATL-ECP,TUE,2250
ATL-ECP,WED,2794
ATL-ECP,THU,3523
ATL-ECP,FRI,2631
ATL-ECP,SAT,1660
ATL-EGE,SUN,15
ATL-EGE,MON,70
ATL-EGE,TUE,172
ATL-EGE,WED,107
ATL-EGE,THU,156
ATL-EGE,FRI,138
ATL-EGE,SAT,105
ATL-ELM,SUN,29
ATL-ELM,MON,125
ATL-ELM,TUE,131
ATL-ELM,WED,109
ATL-ELM,THU,0
ATL-ELM,FRI,290
ATL-ELM,SAT,157
ATL-ELP,SUN,522
ATL-ELP,MON,722
ATL-ELP,TUE,853
ATL-ELP,WED,841
ATL-ELP,THU,1643
ATL-ELP,FRI,694
ATL-ELP,SAT,558
ATL-EVV,SUN,1554
ATL-EVV,MON,2218
ATL-EVV,TUE,1644
ATL-EVV,WED,1424
ATL-EVV,THU,1696
ATL-EVV,FRI,1491
ATL-EVV,SAT,492
ATL-EWN,SUN,1287
ATL-EWN,MON,1604
ATL-EWN,TUE,934
ATL-EWN,WED,416
ATL-EWN,THU,828
ATL-EWN,FRI,746
ATL-EWN,SAT,431
ATL-EWR,SUN,8198
ATL-EWR,MON,11994
ATL-EWR,TUE,15720
ATL-EWR,WED,10680
ATL-EWR,THU,14073
ATL-EWR,FRI,9249
ATL-EWR,SAT,2684
ATL-EYW,SUN,1454
ATL-EYW,MON,2209
ATL-EYW,TUE,2563
ATL-EYW,WED,2735
ATL-EYW,THU,3351
ATL-EYW,FRI,1436
ATL-EYW,SAT,2996
ATL-FAR,SUN,0
ATL-FAR,MON,53
ATL-FAR,TUE,0
ATL-FAR,WED,67
ATL-FAR,THU,128
ATL-FAR,FRI,15
ATL-FAR,SAT,373
ATL-FAY,SUN,1953
ATL-FAY,MON,3881
ATL-FAY,TUE,2066
ATL-FAY,WED,2882
ATL-FAY,THU,2523
ATL-FAY,FRI,1327
ATL-FAY,SAT,936
